day,left_duration_seconds,left_duration_minutes,left_duration_hours,right_duration_seconds,right_duration_minutes,right_duration_hours,start_datetime,start_day,start_month,start_year,start_weekday,start_weekday_name,months_passed,days_passed,count
2024-04-04,5650,94.0,1.7,5552,92.0,1.7000000000000002,2024-04-04 23:50:36.153000+02:00,4,4,2024,4,Thursday,0,5,12
2024-04-05,7258,122.0,2.1,5447,91.0,1.5999999999999999,2024-04-05 21:56:33.685000+02:00,5,4,2024,5,Friday,0,5,16
2024-04-06,10083,168.0,2.6,12086,201.0,3.4000000000000004,2024-04-06 23:49:11.141000+02:00,6,4,2024,6,Saturday,0,7,27
2024-04-07,5435,90.0,1.4000000000000001,10632,178.0,3.0,2024-04-07 23:29:50.565000+02:00,7,4,2024,7,Sunday,0,7,21
2024-04-08,14560,242.0,4.0,10044,166.0,2.7,2024-04-08 23:37:41.765000+02:00,8,4,2024,1,Monday,0,9,33
2024-04-09,8027,133.0,2.0,8046,133.0,2.4,2024-04-09 21:59:33.316000+02:00,9,4,2024,2,Tuesday,0,9,29
2024-04-10,12082,200.0,3.4000000000000004,8745,146.0,2.5,2024-04-10 23:22:00+02:00,10,4,2024,3,Wednesday,0,10,36
2024-04-11,8188,135.0,2.4,9291,153.0,2.6,2024-04-11 23:05:50.266000+02:00,11,4,2024,4,Thursday,0,11,33
2024-04-12,6518,109.0,1.9,6691,111.0,1.8,2024-04-12 20:06:00+02:00,12,4,2024,5,Friday,0,12,19
2024-04-13,6866,115.0,1.9000000000000001,8717,145.0,2.3000000000000003,2024-04-13 22:45:41.065000+02:00,13,4,2024,6,Saturday,0,13,28
2024-04-14,7893,131.0,2.3000000000000003,6766,114.0,1.8,2024-04-14 23:53:47.352000+02:00,14,4,2024,7,Sunday,0,15,28
2024-04-15,4660,78.0,1.2000000000000002,9635,161.0,2.9,2024-04-15 23:48:25.467000+02:00,15,4,2024,1,Monday,0,16,21
2024-04-16,7507,125.0,1.9000000000000001,4556,76.0,1.4000000000000001,2024-04-16 21:20:00+02:00,16,4,2024,2,Tuesday,0,16,24
2024-04-17,8647,144.0,2.4,8999,151.0,2.7,2024-04-17 23:43:03.192000+02:00,17,4,2024,3,Wednesday,0,18,30
2024-04-18,6165,101.0,1.7,8162,135.0,2.4000000000000004,2024-04-18 23:39:25.798000+02:00,18,4,2024,4,Thursday,0,19,31
