night,duration_seconds,duration_minutes,duration_hours,night_datetime,night_day,night_month,night_year,night_weekday,night_weekday_name,months_passed,days_passed
2024-05-06,25405,423.0,7.1,2024-05-06 20:55:35.598000+02:00,6,5,2024,1,Monday,1,5
2024-05-07,31450,525.0,8.7,2024-05-07 21:30:00+02:00,7,5,2024,2,Tuesday,1,6
2024-05-08,38456,640.0,10.8,2024-05-08 23:24:19.520000+02:00,8,5,2024,3,Wednesday,1,7
2024-05-09,52057,868.0,14.3,2024-05-09 23:21:27.758000+02:00,9,5,2024,4,Thursday,1,8
2024-05-10,50139,836.0,14.2,2024-05-10 23:16:00+02:00,10,5,2024,5,Friday,1,9
2024-05-11,30491,508.0,8.5,2024-05-11 20:57:00+02:00,11,5,2024,6,Saturday,1,10
2024-05-12,50139,835.0,13.9,2024-05-12 23:13:00+02:00,12,5,2024,7,Sunday,1,11
2024-05-13,41023,683.0,11.4,2024-05-13 21:23:00+02:00,13,5,2024,1,Monday,1,12
2024-05-14,42926,716.0,12.0,2024-05-14 20:22:38.798000+02:00,14,5,2024,2,Tuesday,1,13
2024-05-15,43813,730.0,12.2,2024-05-15 20:54:07.640000+02:00,15,5,2024,3,Wednesday,1,14
2024-05-16,52389,874.0,14.4,2024-05-16 23:55:00+02:00,16,5,2024,4,Thursday,1,16
2024-05-17,34591,576.0,9.5,2024-05-17 21:05:00+02:00,17,5,2024,5,Friday,1,16
2024-05-18,49063,818.0,13.6,2024-05-18 23:43:26.131000+02:00,18,5,2024,6,Saturday,1,18
2024-05-19,50850,848.0,14.1,2024-05-19 22:58:00+02:00,19,5,2024,7,Sunday,1,18
2024-05-20,33240,554.0,9.3,2024-05-20 20:31:48.478000+02:00,20,5,2024,1,Monday,1,19
2024-05-21,40761,680.0,11.2,2024-05-21 21:37:37.176000+02:00,21,5,2024,2,Tuesday,1,20
2024-05-22,45900,766.0,12.7,2024-05-22 19:54:27.572000+02:00,22,5,2024,3,Wednesday,1,21
2024-05-23,49122,819.0,13.6,2024-05-23 23:55:00+02:00,23,5,2024,4,Thursday,1,23
2024-05-24,48236,803.0,13.5,2024-05-24 21:53:41.681000+02:00,24,5,2024,5,Friday,1,23
2024-05-25,44150,737.0,12.4,2024-05-25 22:14:12.905000+02:00,25,5,2024,6,Saturday,1,24
2024-05-26,46393,774.0,12.7,2024-05-26 21:53:12.819000+02:00,26,5,2024,7,Sunday,1,25
2024-05-27,52393,872.0,14.6,2024-05-27 21:21:46.872000+02:00,27,5,2024,1,Monday,1,26
2024-05-28,51993,864.0,14.4,2024-05-28 22:36:00.790000+02:00,28,5,2024,2,Tuesday,1,27
2024-05-29,49408,822.0,13.9,2024-05-29 23:02:28.097000+02:00,29,5,2024,3,Wednesday,1,28
2024-05-30,44366,739.0,12.2,2024-05-30 21:45:00+02:00,30,5,2024,4,Thursday,1,29
2024-05-31,50212,838.0,13.9,2024-05-31 20:57:00+02:00,31,5,2024,5,Friday,2,0
2024-06-01,50315,838.0,13.9,2024-06-01 20:44:33.520000+02:00,1,6,2024,6,Saturday,2,1
2024-06-02,50816,847.0,14.3,2024-06-02 22:20:17.923000+02:00,2,6,2024,7,Sunday,2,2
2024-06-03,45282,754.0,12.6,2024-06-03 22:05:00+02:00,3,6,2024,1,Monday,2,3
2024-06-04,43128,720.0,12.0,2024-06-04 22:18:33.210000+02:00,4,6,2024,2,Tuesday,2,4
2024-06-05,39405,656.0,10.8,2024-06-05 21:32:52.740000+02:00,5,6,2024,3,Wednesday,2,5
2024-06-06,48703,812.0,13.7,2024-06-06 19:55:25.607000+02:00,6,6,2024,4,Thursday,2,6
2024-06-07,45772,762.0,12.7,2024-06-07 22:04:18.987000+02:00,7,6,2024,5,Friday,2,7
2024-06-08,51685,861.0,14.4,2024-06-08 23:44:28.225000+02:00,8,6,2024,6,Saturday,2,9
2024-06-09,39516,658.0,11.0,2024-06-09 22:05:20.092000+02:00,9,6,2024,7,Sunday,2,9
2024-06-10,47776,796.0,13.2,2024-06-10 20:55:00+02:00,10,6,2024,1,Monday,2,10
2024-06-11,50892,849.0,14.1,2024-06-11 23:47:47.904000+02:00,11,6,2024,2,Tuesday,2,12
2024-06-12,43488,725.0,12.0,2024-06-12 22:51:57.661000+02:00,12,6,2024,3,Wednesday,2,12
2024-06-13,49061,818.0,13.5,2024-06-13 21:12:05.234000+02:00,13,6,2024,4,Thursday,2,13
2024-06-14,46494,774.0,12.8,2024-06-14 20:20:00+02:00,14,6,2024,5,Friday,2,14
2024-06-15,49494,824.0,13.6,2024-06-15 22:06:28.043000+02:00,15,6,2024,6,Saturday,2,15
2024-06-16,40111,668.0,11.1,2024-06-16 21:15:56.412000+02:00,16,6,2024,7,Sunday,2,16
2024-06-17,43228,721.0,11.9,2024-06-17 22:40:25.840000+02:00,17,6,2024,1,Monday,2,17
2024-06-18,38917,649.0,10.8,2024-06-18 21:26:00+02:00,18,6,2024,2,Tuesday,2,18
2024-06-19,42806,714.0,11.9,2024-06-19 22:50:32.118000+02:00,19,6,2024,3,Wednesday,2,19
2024-06-20,45605,760.0,12.5,2024-06-20 21:42:30.974000+02:00,20,6,2024,4,Thursday,2,20
2024-06-21,50264,838.0,14.0,2024-06-21 22:38:38.965000+02:00,21,6,2024,5,Friday,2,21
2024-06-22,44139,735.0,12.4,2024-06-22 22:36:00+02:00,22,6,2024,6,Saturday,2,22
2024-06-23,44823,747.0,12.3,2024-06-23 22:56:20.733000+02:00,23,6,2024,7,Sunday,2,23
2024-06-24,29919,499.0,8.2,2024-06-24 21:45:59.398000+02:00,24,6,2024,1,Monday,2,24
2024-06-25,44369,740.0,12.4,2024-06-25 21:35:14.693000+02:00,25,6,2024,2,Tuesday,2,25
2024-06-26,21475,358.0,6.0,2024-06-26 09:46:13.824000+02:00,26,6,2024,3,Wednesday,2,26
