duration_seconds,duration_minutes,duration_hours,endDate,startDate,start_datetime,start_day,start_month,start_year,start_hour,start_minute,start_time,start_weekday,start_weekday_name,end_datetime,end_day,end_month,end_year,end_hour,end_minute,end_time,end_weekday,end_weekday_name,night_datetime,night,night_day,night_month,night_year,night_weekday,night_weekday_name,months_passed,days_passed
3540,59.0,1.0,2024-06-26T07:45:00.000+02:00,2024-06-26T06:46:00.000+02:00,2024-06-26 06:46:00+02:00,26,6,2024,6,46,06:46,3,Wednesday,2024-06-26 07:45:00+02:00,26,6,2024,7,45,07:45,3,Wednesday,2024-06-25 06:46:00+02:00,2024-06-25,25,6,2024,2,Tuesday,2,25
3271,55.0,0.9,2024-06-26T05:35:43.844+02:00,2024-06-26T04:41:12.649+02:00,2024-06-26 04:41:12.649000+02:00,26,6,2024,4,41,04:41,3,Wednesday,2024-06-26 05:35:43.844000+02:00,26,6,2024,5,35,05:35,3,Wednesday,2024-06-25 04:41:12.649000+02:00,2024-06-25,25,6,2024,2,Tuesday,2,25
2700,45.0,0.8,2024-06-26T04:05:00.000+02:00,2024-06-26T03:20:00.000+02:00,2024-06-26 03:20:00+02:00,26,6,2024,3,20,03:20,3,Wednesday,2024-06-26 04:05:00+02:00,26,6,2024,4,5,04:05,3,Wednesday,2024-06-25 03:20:00+02:00,2024-06-25,25,6,2024,2,Tuesday,2,25
8019,134.0,2.2,2024-06-26T03:10:36.302+02:00,2024-06-26T00:56:56.451+02:00,2024-06-26 00:56:56.451000+02:00,26,6,2024,0,56,00:56,3,Wednesday,2024-06-26 03:10:36.302000+02:00,26,6,2024,3,10,03:10,3,Wednesday,2024-06-25 00:56:56.451000+02:00,2024-06-25,25,6,2024,2,Tuesday,2,25
7589,126.0,2.1,2024-06-26T00:12:19.943+02:00,2024-06-25T22:05:50.762+02:00,2024-06-25 22:05:50.762000+02:00,25,6,2024,22,5,22:05,2,Tuesday,2024-06-26 00:12:19.943000+02:00,26,6,2024,0,12,00:12,3,Wednesday,2024-06-25 22:05:50.762000+02:00,2024-06-25,25,6,2024,2,Tuesday,2,25
10680,178.0,3.0,2024-06-25T05:11:17.594+02:00,2024-06-25T02:13:17.261+02:00,2024-06-25 02:13:17.261000+02:00,25,6,2024,2,13,02:13,2,Tuesday,2024-06-25 05:11:17.594000+02:00,25,6,2024,5,11,05:11,2,Tuesday,2024-06-24 02:13:17.261000+02:00,2024-06-24,24,6,2024,1,Monday,2,24
2700,45.0,0.8,2024-06-25T01:00:00.000+02:00,2024-06-25T00:15:00.000+02:00,2024-06-25 00:15:00+02:00,25,6,2024,0,15,00:15,2,Tuesday,2024-06-25 01:00:00+02:00,25,6,2024,1,0,01:00,2,Tuesday,2024-06-24 00:15:00+02:00,2024-06-24,24,6,2024,1,Monday,2,24
6397,107.0,1.8,2024-06-24T23:55:16.034+02:00,2024-06-24T22:08:38.597+02:00,2024-06-24 22:08:38.597000+02:00,24,6,2024,22,8,22:08,1,Monday,2024-06-24 23:55:16.034000+02:00,24,6,2024,23,55,23:55,1,Monday,2024-06-24 22:08:38.597000+02:00,2024-06-24,24,6,2024,1,Monday,2,24
1740,29.0,0.5,2024-06-24T08:29:00.000+02:00,2024-06-24T08:00:00.000+02:00,2024-06-24 08:00:00+02:00,24,6,2024,8,0,08:00,1,Monday,2024-06-24 08:29:00+02:00,24,6,2024,8,29,08:29,1,Monday,2024-06-23 08:00:00+02:00,2024-06-23,23,6,2024,7,Sunday,2,23
1500,25.0,0.4,2024-06-24T07:25:00.000+02:00,2024-06-24T07:00:00.000+02:00,2024-06-24 07:00:00+02:00,24,6,2024,7,0,07:00,1,Monday,2024-06-24 07:25:00+02:00,24,6,2024,7,25,07:25,1,Monday,2024-06-23 07:00:00+02:00,2024-06-23,23,6,2024,7,Sunday,2,23
