night,my_sleep_duration_minutes,my_sleep_duration_hours,night_day,night_month,night_year,night_weekday,night_weekday_name,months_passed,days_passed,baby_sleep_duration_minutes,baby_sleep_duration_hours,feeding_left_duration_minutes,feeding_left_duration_hours,feeding_right_duration_minutes,feeding_right_duration_hours,n_feeding_per_day
2024-04-04,,,4,4,2024,4,Thursday,0,5,,,94.0,1.7,92.0,1.7000000000000002,12.0
2024-04-05,,,5,4,2024,5,Friday,0,6,,,122.0,2.1,91.0,1.5999999999999999,16.0
2024-04-06,,,6,4,2024,6,Saturday,0,7,,,168.0,2.6,201.0,3.4000000000000004,27.0
2024-04-07,,,7,4,2024,7,Sunday,0,8,,,90.0,1.4000000000000001,178.0,3.0,21.0
2024-04-08,,,8,4,2024,1,Monday,0,9,,,242.0,4.0,166.0,2.7,33.0
2024-04-09,,,9,4,2024,2,Tuesday,0,10,,,133.0,2.0,133.0,2.4,29.0
2024-04-10,,,10,4,2024,3,Wednesday,0,11,,,200.0,3.4000000000000004,146.0,2.5,36.0
2024-04-11,,,11,4,2024,4,Thursday,0,12,,,135.0,2.4,153.0,2.6,33.0
2024-04-12,,,12,4,2024,5,Friday,0,13,,,109.0,1.9,111.0,1.8,19.0
2024-04-13,,,13,4,2024,6,Saturday,0,14,,,115.0,1.9000000000000001,145.0,2.3000000000000003,28.0
2024-04-14,,,14,4,2024,7,Sunday,0,15,,,131.0,2.3000000000000003,114.0,1.8,28.0
2024-04-15,,,15,4,2024,1,Monday,0,16,,,78.0,1.2000000000000002,161.0,2.9,21.0
2024-04-16,,,16,4,2024,2,Tuesday,0,17,,,125.0,1.9000000000000001,76.0,1.4000000000000001,24.0
2024-04-17,,,17,4,2024,3,Wednesday,0,18,,,144.0,2.4,151.0,2.7,30.0
2024-04-18,,,18,4,2024,4,Thursday,0,19,,,101.0,1.7,135.0,2.4000000000000004,31.0
2024-04-19,,,19,4,2024,5,Friday,0,20,,,100.0,1.6,167.0,2.8,25.0
2024-04-20,342.0,5.7,20,4,2024,6,Saturday,0,21,,,94.0,1.7,70.0,1.3,20.0
2024-04-21,310.0,5.2,21,4,2024,7,Sunday,0,22,,,117.0,2.0,98.0,2.0,30.0
2024-04-22,316.0,5.3,22,4,2024,1,Monday,0,23,,,96.0,1.6,94.0,1.8,23.0
